zipfile,hostname,total_processing,total_size_bytes,success_count,fail_count
Boaz-bak-C.5689103d0b0892bd-F.D448CT6JNFDJ4.zip,BOAZ-BAK,1.7165741920471191,299157,2,0
LAPTOP-JC-C.65e548a6aa01faa1-F.D3DN1LABPD0OA_latestversion_onlyrawartifacts.zip,LAPTOP-JC,3.8985939025878906,790266,2,0
data_c_e_raw_nopw.zip,,0.7135660648345947,0,2,0
data_c_small_nopw.zip,,0.6312260627746582,0,2,0
data_most_nopw.zip,DESKTOP-761HKJH,0.9078185558319092,82408,2,0
Boaz-bak-C.5689103d0b0892bd-F.D448CT6JNFDJ4.zip,BOAZ-BAK,1.7165741920471191,299157,2,0
LAPTOP-JC-C.65e548a6aa01faa1-F.D3DN1LABPD0OA_latestversion_onlyrawartifacts.zip,LAPTOP-JC,3.8985939025878906,790266,2,0
data_c_e_raw_nopw.zip,,0.7135660648345947,0,2,0
data_c_small_nopw.zip,,0.6312260627746582,0,2,0
data_most_nopw.zip,DESKTOP-761HKJH,0.9078185558319092,82408,2,0
